team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
Haders gonna Hate,2024-08-08,3,3,3,8,3,7,3,4,2,1,3,3,4,47,30,17,13,12,13
Hobo Ken,2024-08-08,10,12,6,6,12,1,7,8,12,11,9,14,5,113,54,59,5,6,4
Mighty Banshees,2024-08-08,14,11,13,13,10,12,12,12,13,5,7,7,12,141,85,56,2,2,6
Nola's Ark,2024-08-08,9,10,11,5,9,6,7,5,7,10,10,5,10,104,57,47,6,5,7
The Flying Rutschmen,2024-08-08,8,4,5,10,4,8,6,5,5,8,13,4,1,81,45,36,10,8,11
Lux Æterna,2024-08-08,6,9,7,9,6,4,4,2,3,1,3,2,7,63,45,18,12,8,12
Ya Gotta Beliebe,2024-08-08,1,1,1,11,1,4,1,9,9,14,10,11,10,83,20,63,8,14,2
Rochelle Rochelle the Musical,2024-08-08,4,6,4,2,5,10,10,9,4,7,5,6,7,79,41,38,11,10,9
HaberMetrics,2024-08-09,5,5,10,7,2,11,9,3,6,8,11,7,2,86,49,37,7,7,9
Boba Chette,2024-08-09,2,2,2,2,11,2,2,1,1,6,1,1,3,36,23,13,14,13,14
Bug Monty,2024-08-09,12,13,9,14,13,14,14,11,9,14,13,11,13,160,89,71,1,1,1
FightinHorse&Buggies,2024-08-09,13,14,14,4,14,9,13,14,10,11,7,13,8,144,81,63,2,3,2
Forever Jung,2024-08-09,11,7,12,12,7,13,11,13,14,4,5,11,9,129,73,56,4,4,6
Friends O'Clyde,2024-08-09,6,8,8,1,7,3,3,7,11,3,1,9,14,81,36,45,8,11,8
Haders gonna Hate,2024-08-09,3,3,3,8,3,7,4,4,2,2,3,3,4,49,31,18,13,12,12
Hobo Ken,2024-08-09,10,12,6,5,12,1,7,8,12,12,9,14,5,113,53,60,5,6,4
Mighty Banshees,2024-08-09,14,10,13,13,10,12,12,12,13,5,7,8,12,141,84,57,3,2,5
Nola's Ark,2024-08-09,9,11,11,5,9,6,7,5,7,10,9,5,10,104,58,46,6,5,7
The Flying Rutschmen,2024-08-09,8,4,5,10,4,8,6,5,4,8,13,4,1,80,45,35,10,9,11
Lux Æterna,2024-08-09,7,9,7,9,6,5,5,2,3,1,3,2,6,65,48,17,12,8,13
Ya Gotta Beliebe,2024-08-09,1,1,1,11,1,3,1,10,8,13,11,10,10,81,19,62,8,14,3
