team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
HaberMetrics,2024-08-19,5,6,10,4,2,11,9,4,6,9,14,7,2,89,47,42,7,7,8
Boba Chette,2024-08-19,3,2,2,2,10,1,2,1,1,5,1,1,2,33,22,11,14,13,14
Bug Monty,2024-08-19,13,13,9,14,14,13,14,10,9,13,12,11,14,159,90,69,1,1,1
FightinHorse&Buggies,2024-08-19,12,14,14,3,13,8,13,14,11,12,7,13,8,142,77,65,2,3,2
Forever Jung,2024-08-19,11,9,12,12,7,13,11,13,14,4,6,11,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-19,7,7,7,1,8,4,3,8,8,3,1,7,13,77,37,40,10,11,9
Haders gonna Hate,2024-08-19,2,3,3,7,3,7,4,5,2,2,1,3,4,46,29,17,13,12,12
Hobo Ken,2024-08-19,10,12,8,10,12,1,8,9,12,14,10,14,5,125,61,64,5,5,3
Mighty Banshees,2024-08-19,14,11,12,13,10,12,12,12,13,6,8,7,12,142,84,58,2,2,5
Nola's Ark,2024-08-19,9,10,11,6,9,5,6,3,7,10,10,6,11,103,56,47,6,6,7
The Flying Rutschmen,2024-08-19,8,4,5,9,4,8,7,5,5,8,12,4,1,80,45,35,8,8,10
Lux Æterna,2024-08-19,6,8,6,8,6,6,5,2,3,1,1,2,5,59,45,14,12,8,13
Ya Gotta Beliebe,2024-08-19,1,1,1,11,1,3,1,10,10,11,9,10,10,79,19,60,9,14,4
Rochelle Rochelle the Musical,2024-08-19,4,5,4,4,5,8,9,7,4,6,5,5,7,73,39,34,11,10,11
HaberMetrics,2024-08-20,5,6,10,4,2,11,9,4,6,9,14,7,2,89,47,42,7,7,9
Boba Chette,2024-08-20,3,2,2,2,10,1,2,1,1,5,1,1,2,33,22,11,14,13,14
Bug Monty,2024-08-20,13,13,9,14,14,13,14,10,10,13,12,12,14,161,90,71,1,1,1
FightinHorse&Buggies,2024-08-20,12,14,14,3,13,8,13,14,11,12,7,13,9,143,77,66,2,3,2
Forever Jung,2024-08-20,11,9,13,12,7,13,11,13,14,4,6,11,8,132,76,56,4,4,6
Friends O'Clyde,2024-08-20,8,7,7,1,8,4,4,8,8,3,2,9,13,82,39,43,8,11,8
Haders gonna Hate,2024-08-20,2,3,3,6,3,7,3,5,2,2,2,3,4,45,27,18,13,12,12
Hobo Ken,2024-08-20,10,12,8,10,12,1,8,8,12,14,9,14,5,123,61,62,5,5,3
Mighty Banshees,2024-08-20,14,11,12,13,11,12,12,12,13,6,7,7,12,142,85,57,3,2,5
Nola's Ark,2024-08-20,9,10,11,7,9,5,6,3,7,10,11,5,11,104,57,47,6,6,7
The Flying Rutschmen,2024-08-20,7,4,5,9,4,8,6,5,5,8,12,4,1,78,43,35,9,9,10
Lux Æterna,2024-08-20,6,8,6,8,6,6,5,2,3,1,2,2,6,61,45,16,12,8,13
Ya Gotta Beliebe,2024-08-20,1,1,1,11,1,3,1,10,9,11,9,10,10,78,19,59,9,14,4
Rochelle Rochelle the Musical,2024-08-20,4,5,4,5,5,8,9,7,4,7,5,5,7,75,40,35,11,10,10
HaberMetrics,2024-08-21,5,6,10,3,2,11,10,3,6,9,13,7,3,88,47,41,7,7,9
Boba Chette,2024-08-21,3,2,2,2,10,2,2,1,1,5,1,1,2,34,23,11,14,13,14
Bug Monty,2024-08-21,13,13,9,14,14,14,14,10,10,14,13,11,14,163,91,72,1,1,1
FightinHorse&Buggies,2024-08-21,12,14,14,3,13,9,13,14,11,12,6,13,9,143,78,65,2,3,2
Forever Jung,2024-08-21,11,9,13,12,7,13,11,13,14,4,6,12,8,133,76,57,4,4,5
Friends O'Clyde,2024-08-21,6,7,7,1,8,4,3,9,8,3,2,9,13,80,36,44,9,11,8
Haders gonna Hate,2024-08-21,2,3,3,6,3,7,3,5,2,2,2,3,4,45,27,18,13,12,12
Hobo Ken,2024-08-21,10,12,8,10,12,1,8,8,12,13,9,14,5,122,61,61,5,5,3
Mighty Banshees,2024-08-21,14,11,12,13,11,12,12,12,13,6,6,7,12,141,85,56,3,2,6
Nola's Ark,2024-08-21,9,9,11,8,9,5,5,3,7,10,9,5,11,101,56,45,6,6,7
The Flying Rutschmen,2024-08-21,8,4,5,9,3,9,7,6,5,8,12,4,1,81,45,36,8,9,10
Lux Æterna,2024-08-21,7,8,6,7,6,6,6,2,3,1,2,2,6,62,46,16,12,8,13
Ya Gotta Beliebe,2024-08-21,1,1,1,11,1,3,1,11,9,11,9,10,10,79,19,60,10,14,4
Rochelle Rochelle the Musical,2024-08-21,4,5,4,3,5,8,9,7,4,7,5,5,7,73,38,35,11,10,11
HaberMetrics,2024-08-22,5,6,10,3,2,11,10,4,6,9,14,7,3,90,47,43,7,7,9
Boba Chette,2024-08-22,3,2,2,2,10,1,2,1,1,5,1,1,2,33,22,11,14,13,14
Bug Monty,2024-08-22,13,13,9,14,14,13,14,10,10,14,12,11,13,160,90,70,1,1,1
FightinHorse&Buggies,2024-08-22,12,14,14,3,13,8,13,14,11,12,6,13,9,142,77,65,2,3,2
Forever Jung,2024-08-22,11,9,13,12,7,13,11,13,14,4,6,12,8,133,76,57,4,4,5
Friends O'Clyde,2024-08-22,6,7,7,1,9,4,4,8,8,3,4,9,13,83,38,45,8,10,7
Haders gonna Hate,2024-08-22,2,3,3,6,3,7,3,4,2,2,2,3,4,44,27,17,13,12,12
Hobo Ken,2024-08-22,10,12,8,10,12,1,8,9,13,13,9,14,5,124,61,63,5,5,3
Mighty Banshees,2024-08-22,14,11,12,13,11,11,12,12,12,6,6,8,12,140,84,56,3,2,6
Nola's Ark,2024-08-22,9,9,11,8,8,5,5,3,7,10,9,5,11,100,55,45,6,6,7
The Flying Rutschmen,2024-08-22,6,4,5,9,4,8,6,6,5,8,12,4,1,78,42,36,10,9,10
Lux Æterna,2024-08-22,8,8,6,7,6,6,6,2,3,1,2,2,6,63,47,16,12,7,13
Ya Gotta Beliebe,2024-08-22,1,1,1,11,1,3,1,11,9,11,9,10,10,79,19,60,9,14,4
Rochelle Rochelle the Musical,2024-08-22,4,5,4,3,5,8,9,7,4,6,5,5,7,72,38,34,11,10,11
HaberMetrics,2024-08-23,5,6,10,5,2,12,10,5,6,9,13,7,2,92,50,42,7,7,9
Boba Chette,2024-08-23,3,2,2,2,10,1,2,1,1,5,1,1,2,33,22,11,14,13,14
Bug Monty,2024-08-23,13,13,9,14,14,14,14,8,10,14,13,11,13,160,91,69,1,1,1
FightinHorse&Buggies,2024-08-23,12,14,14,4,13,9,13,14,11,11,6,13,8,142,79,63,2,3,2
Forever Jung,2024-08-23,11,9,13,12,7,12,11,13,14,4,7,12,8,133,75,58,4,4,5
Friends O'Clyde,2024-08-23,6,7,7,1,9,3,3,8,8,3,3,8,13,79,36,43,10,11,8
Haders gonna Hate,2024-08-23,2,3,3,5,3,7,3,4,2,2,2,3,4,43,26,17,13,12,12
Hobo Ken,2024-08-23,10,12,8,10,12,2,8,8,13,13,9,14,6,125,62,63,5,5,2
Mighty Banshees,2024-08-23,14,11,12,13,11,11,12,12,12,6,7,8,12,141,84,57,3,2,6
Nola's Ark,2024-08-23,9,10,11,8,8,5,5,3,7,10,9,5,11,101,56,45,6,6,7
The Flying Rutschmen,2024-08-23,7,4,5,9,4,9,7,5,5,8,12,4,1,80,45,35,9,9,10
Lux Æterna,2024-08-23,8,8,6,7,6,6,6,2,3,1,3,2,5,63,47,16,12,8,13
Ya Gotta Beliebe,2024-08-23,1,1,1,11,1,4,1,11,9,12,9,10,10,81,20,61,8,14,4
Rochelle Rochelle the Musical,2024-08-23,4,5,4,3,5,8,9,7,4,6,5,6,7,73,38,35,11,10,10
HaberMetrics,2024-08-24,5,6,10,6,2,12,10,4,6,9,14,7,3,94,51,43,7,7,9
Boba Chette,2024-08-24,3,2,2,2,10,1,2,1,1,5,1,1,1,32,22,10,14,13,14
Bug Monty,2024-08-24,13,13,9,14,14,14,14,8,10,14,13,11,14,161,91,70,1,1,1
FightinHorse&Buggies,2024-08-24,12,14,14,4,13,9,13,14,11,11,6,13,8,142,79,63,2,3,3
Forever Jung,2024-08-24,11,9,13,12,7,12,11,13,14,4,7,12,8,133,75,58,4,4,5
Friends O'Clyde,2024-08-24,7,7,7,1,9,3,4,10,8,3,3,9,13,84,38,46,8,10,7
Haders gonna Hate,2024-08-24,2,3,3,4,3,7,3,6,2,2,1,3,4,43,25,18,13,12,12
Hobo Ken,2024-08-24,10,12,8,10,12,1,8,8,13,13,11,14,6,126,61,65,5,5,2
Mighty Banshees,2024-08-24,14,11,12,13,11,11,12,12,12,7,7,8,12,142,84,58,2,2,5
Nola's Ark,2024-08-24,9,10,11,7,8,5,5,3,7,10,9,5,11,100,55,45,6,6,8
The Flying Rutschmen,2024-08-24,6,4,5,9,4,10,5,4,4,8,12,4,1,76,43,33,10,9,11
Lux Æterna,2024-08-24,8,8,6,7,6,6,7,2,3,1,3,2,5,64,48,16,12,8,13
Ya Gotta Beliebe,2024-08-24,1,1,1,11,1,3,1,11,9,12,9,10,10,80,19,61,9,14,4
Rochelle Rochelle the Musical,2024-08-24,4,5,4,3,5,8,8,7,5,5,5,6,7,72,37,35,11,11,10
HaberMetrics,2024-08-25,5,6,10,4,2,12,10,4,6,9,14,7,3,92,49,43,7,7,9
Boba Chette,2024-08-25,3,2,2,2,10,1,2,1,1,4,1,1,2,32,22,10,14,13,14
Bug Monty,2024-08-25,13,13,9,14,14,14,14,9,10,13,13,11,14,161,91,70,1,1,1
FightinHorse&Buggies,2024-08-25,12,14,14,4,13,10,13,14,11,11,6,12,8,142,80,62,2,3,3
Forever Jung,2024-08-25,11,9,13,12,7,13,11,13,14,4,8,13,8,136,76,60,4,4,4
Friends O'Clyde,2024-08-25,7,7,7,1,9,3,4,10,9,3,3,9,13,85,38,47,8,10,7
Haders gonna Hate,2024-08-25,2,3,3,6,3,7,3,5,2,2,2,3,4,45,27,18,13,12,12
Hobo Ken,2024-08-25,10,12,8,10,12,1,9,8,13,14,10,14,6,127,62,65,5,5,2
Mighty Banshees,2024-08-25,14,11,12,13,11,11,12,12,12,7,7,7,12,141,84,57,3,2,6
Nola's Ark,2024-08-25,9,9,11,8,8,5,5,3,7,10,10,5,11,101,55,46,6,6,8
The Flying Rutschmen,2024-08-25,5,4,5,9,4,9,6,5,4,8,12,4,1,76,42,34,10,9,10
Lux Æterna,2024-08-25,8,8,6,7,6,6,7,2,3,1,3,2,5,64,48,16,12,8,13
Ya Gotta Beliebe,2024-08-25,1,1,1,11,1,3,1,10,8,12,9,10,10,78,19,59,9,14,5
Rochelle Rochelle the Musical,2024-08-25,4,5,4,3,5,8,8,7,5,4,5,6,7,71,37,34,11,11,10
HaberMetrics,2024-08-26,6,6,10,4,2,12,10,4,6,9,14,7,3,93,50,43,7,7,9
Boba Chette,2024-08-26,3,2,1,2,10,1,2,1,1,4,1,1,2,31,21,10,14,13,14
Bug Monty,2024-08-26,13,13,9,14,14,13,14,9,10,11,11,11,14,156,90,66,1,1,1
FightinHorse&Buggies,2024-08-26,12,14,14,4,13,10,13,14,11,11,6,12,8,142,80,62,2,3,3
Forever Jung,2024-08-26,11,10,13,12,7,13,11,13,14,5,8,13,8,138,77,61,4,4,4
Friends O'Clyde,2024-08-26,7,7,7,1,9,3,4,10,9,3,3,9,13,85,38,47,8,10,7
Haders gonna Hate,2024-08-26,2,3,3,6,3,7,3,5,2,2,1,3,4,44,27,17,13,12,12
Hobo Ken,2024-08-26,10,12,8,10,12,2,9,8,13,14,11,14,6,129,63,66,5,5,1
Mighty Banshees,2024-08-26,14,11,12,13,11,11,12,12,12,7,7,7,12,141,84,57,3,2,6
Nola's Ark,2024-08-26,9,9,11,7,8,5,5,3,7,10,10,4,11,99,54,45,6,6,8
The Flying Rutschmen,2024-08-26,5,4,5,9,4,9,6,5,4,8,11,4,1,75,42,33,10,9,11
Lux Æterna,2024-08-26,8,8,6,7,6,6,7,2,3,1,3,2,5,64,48,16,12,8,13
Ya Gotta Beliebe,2024-08-26,1,1,2,11,1,3,1,10,8,11,9,10,10,78,20,58,9,14,5
Rochelle Rochelle the Musical,2024-08-26,4,5,4,3,5,8,7,7,5,5,5,6,7,71,36,35,11,11,10
HaberMetrics,2024-08-27,6,6,10,3,2,12,10,4,6,9,14,8,3,93,49,44,7,7,9
Boba Chette,2024-08-27,3,2,1,2,9,1,2,1,1,5,1,1,1,30,20,10,14,13,14
Bug Monty,2024-08-27,13,13,9,14,14,13,14,9,10,13,13,11,14,160,90,70,1,1,1
FightinHorse&Buggies,2024-08-27,12,14,14,6,13,10,13,14,11,12,6,12,8,145,82,63,2,3,3
Forever Jung,2024-08-27,11,10,13,12,7,13,11,13,14,6,8,13,8,139,77,62,4,4,4
Friends O'Clyde,2024-08-27,7,7,7,1,9,3,4,11,9,3,3,9,13,86,38,48,8,10,7
Haders gonna Hate,2024-08-27,2,3,3,5,2,6,3,4,2,2,2,3,4,41,24,17,13,12,12
Hobo Ken,2024-08-27,10,12,8,10,12,2,9,8,13,14,10,14,6,128,63,65,5,5,2
Mighty Banshees,2024-08-27,14,11,12,13,11,11,12,12,12,6,7,7,12,140,84,56,3,2,5
Nola's Ark,2024-08-27,9,9,11,8,8,5,5,3,7,11,10,5,11,102,55,47,6,6,8
The Flying Rutschmen,2024-08-27,5,4,5,9,4,8,6,4,4,8,10,4,1,72,41,31,10,9,11
Lux Æterna,2024-08-27,8,8,6,7,6,6,8,2,3,1,4,2,5,66,49,17,12,7,12
Ya Gotta Beliebe,2024-08-27,1,1,2,11,1,3,1,9,8,10,9,10,10,76,20,56,9,13,5
Rochelle Rochelle the Musical,2024-08-27,4,4,4,3,5,8,7,7,5,4,4,6,7,68,35,33,11,11,10
HaberMetrics,2024-08-28,6,6,10,4,2,12,10,5,6,9,14,8,3,95,50,45,7,7,9
Boba Chette,2024-08-28,3,2,2,2,10,1,2,1,1,4,1,1,1,31,22,9,14,13,14
Bug Monty,2024-08-28,13,13,9,14,14,12,14,9,10,13,10,11,14,156,89,67,1,1,1
FightinHorse&Buggies,2024-08-28,12,14,14,6,13,10,13,14,11,11,6,12,8,144,82,62,2,3,4
Forever Jung,2024-08-28,11,10,13,12,7,14,11,13,14,6,8,13,9,141,78,63,3,4,3
Friends O'Clyde,2024-08-28,7,7,7,1,9,3,4,11,8,3,3,8,13,84,38,46,8,10,7
Haders gonna Hate,2024-08-28,2,3,3,5,2,6,3,3,2,2,2,3,4,40,24,16,13,12,13
Hobo Ken,2024-08-28,10,12,8,9,12,2,9,8,13,14,10,14,6,127,62,65,5,5,2
Mighty Banshees,2024-08-28,14,11,12,13,11,11,12,12,12,7,7,7,12,141,84,57,3,2,5
Nola's Ark,2024-08-28,9,9,11,8,8,5,6,3,7,11,10,4,11,102,56,46,6,6,7
The Flying Rutschmen,2024-08-28,5,4,5,9,4,8,5,6,5,8,13,5,2,79,40,39,9,9,10
Lux Æterna,2024-08-28,8,8,6,7,6,6,8,2,3,1,4,2,5,66,49,17,12,8,12
Ya Gotta Beliebe,2024-08-28,1,1,1,11,1,3,1,9,9,10,8,10,10,75,19,56,10,14,6
Rochelle Rochelle the Musical,2024-08-28,4,5,4,3,5,8,7,7,4,5,4,6,7,69,36,33,11,11,11
HaberMetrics,2024-08-29,6,6,10,3,3,12,10,5,6,9,14,8,2,94,50,44,7,7,9
Boba Chette,2024-08-29,3,2,2,2,10,1,2,1,1,3,1,1,1,30,22,8,14,13,14
Bug Monty,2024-08-29,13,13,9,14,14,12,14,10,10,13,12,11,14,159,89,70,1,1,1
FightinHorse&Buggies,2024-08-29,12,14,14,7,13,10,13,14,11,11,6,12,8,145,83,62,2,3,3
Forever Jung,2024-08-29,11,9,13,12,7,14,11,13,14,5,8,13,9,139,77,62,4,4,3
Friends O'Clyde,2024-08-29,7,7,7,1,8,4,4,11,8,3,4,9,13,86,38,48,8,10,7
Haders gonna Hate,2024-08-29,2,3,3,5,2,6,3,3,2,2,2,2,4,39,24,15,13,12,13
Hobo Ken,2024-08-29,9,12,8,9,12,2,8,8,13,14,10,14,6,125,60,65,5,5,2
Mighty Banshees,2024-08-29,14,11,12,13,11,11,12,12,12,7,6,7,12,140,84,56,3,2,5
Nola's Ark,2024-08-29,10,9,11,8,8,5,6,3,7,12,10,4,11,104,57,47,6,6,8
The Flying Rutschmen,2024-08-29,5,4,5,10,4,7,5,6,5,8,12,5,2,78,40,38,9,9,10
Lux Æterna,2024-08-29,8,8,6,6,6,7,8,2,3,1,3,3,5,66,49,17,12,8,12
Ya Gotta Beliebe,2024-08-29,1,1,1,11,1,3,1,8,9,10,9,10,10,75,19,56,10,14,5
Rochelle Rochelle the Musical,2024-08-29,4,5,4,3,5,9,7,7,4,5,4,6,7,70,37,33,11,11,11
HaberMetrics,2024-08-30,6,6,10,3,2,12,10,4,6,9,14,8,2,92,49,43,7,8,9
Boba Chette,2024-08-30,3,2,2,2,10,1,2,1,1,3,1,1,1,30,22,8,14,13,14
Bug Monty,2024-08-30,13,13,9,14,14,12,14,10,10,13,10,11,14,157,89,68,1,1,1
FightinHorse&Buggies,2024-08-30,12,14,13,7,13,10,13,14,11,11,5,12,8,143,82,61,2,3,3
Forever Jung,2024-08-30,11,9,13,12,7,14,11,13,14,5,8,12,9,138,77,61,4,4,3
Friends O'Clyde,2024-08-30,7,6,7,1,8,3,3,10,8,3,4,9,13,82,35,47,8,11,7
Haders gonna Hate,2024-08-30,2,3,3,5,3,6,4,4,2,1,2,2,4,41,26,15,13,12,13
Hobo Ken,2024-08-30,9,12,8,9,12,1,7,9,13,14,10,14,6,124,58,66,5,6,2
Mighty Banshees,2024-08-30,14,11,12,13,11,11,12,12,12,7,5,7,12,139,84,55,3,2,6
Nola's Ark,2024-08-30,10,10,11,8,9,5,7,3,7,10,10,4,11,105,60,45,6,5,8
The Flying Rutschmen,2024-08-30,5,4,5,10,4,7,5,6,4,8,13,5,3,79,40,39,9,9,10
Lux Æterna,2024-08-30,8,8,6,6,6,7,9,2,3,1,3,3,5,67,50,17,12,7,12
Ya Gotta Beliebe,2024-08-30,1,1,1,11,1,4,1,8,9,11,9,10,10,77,20,57,10,14,5
Rochelle Rochelle the Musical,2024-08-30,4,5,4,3,5,9,6,7,5,6,5,6,7,72,36,36,11,10,11
HaberMetrics,2024-08-31,7,6,10,4,3,12,10,3,6,9,14,8,2,94,52,42,7,7,9
Boba Chette,2024-08-31,3,2,3,2,10,2,4,1,1,3,1,1,1,34,26,8,14,12,14
Bug Monty,2024-08-31,13,13,9,14,14,12,14,10,10,13,10,11,14,157,89,68,1,1,1
FightinHorse&Buggies,2024-08-31,12,14,13,7,13,10,13,14,11,12,7,12,8,146,82,64,2,3,2
Forever Jung,2024-08-31,11,9,13,12,7,14,11,13,14,5,8,12,9,138,77,61,4,4,4
Friends O'Clyde,2024-08-31,6,7,6,1,9,3,2,11,9,4,4,9,13,84,34,50,8,11,7
Haders gonna Hate,2024-08-31,2,2,1,5,2,6,3,3,2,1,2,2,4,35,21,14,13,13,13
Hobo Ken,2024-08-31,9,11,8,9,12,1,6,8,12,14,10,14,6,120,56,64,5,6,2
Mighty Banshees,2024-08-31,14,12,12,13,11,11,12,12,12,7,5,7,12,140,85,55,3,2,5
Nola's Ark,2024-08-31,10,10,11,8,8,5,7,3,7,10,10,4,11,104,59,45,6,5,8
The Flying Rutschmen,2024-08-31,5,4,5,10,4,7,5,6,4,8,13,5,3,79,40,39,9,9,10
Lux Æterna,2024-08-31,8,8,6,6,6,7,9,2,3,1,3,3,5,67,50,17,12,8,12
Ya Gotta Beliebe,2024-08-31,1,1,2,11,1,4,1,8,8,10,9,10,10,76,21,55,10,13,5
Rochelle Rochelle the Musical,2024-08-31,4,5,4,3,5,9,8,7,4,6,5,6,7,73,38,35,11,10,11
HaberMetrics,2024-09-01,7,6,10,3,3,12,10,4,6,9,14,8,2,94,51,43,7,7,9
Boba Chette,2024-09-01,3,2,2,2,10,2,3,1,1,3,1,1,1,32,24,8,14,13,14
Bug Monty,2024-09-01,13,13,9,14,14,13,14,11,10,13,12,11,14,161,90,71,1,1,1
FightinHorse&Buggies,2024-09-01,12,14,14,6,13,10,13,14,11,11,7,12,8,145,82,63,2,3,3
Forever Jung,2024-09-01,11,9,13,12,8,14,11,13,14,5,8,13,9,140,78,62,3,4,4
Friends O'Clyde,2024-09-01,6,7,7,1,9,3,2,10,9,4,4,9,13,84,35,49,8,11,7
Haders gonna Hate,2024-09-01,2,3,3,5,2,6,4,3,2,1,2,2,4,39,25,14,13,12,13
Hobo Ken,2024-09-01,9,11,8,9,12,1,6,9,13,14,10,14,6,122,56,66,5,6,2
Mighty Banshees,2024-09-01,14,12,12,13,11,11,12,12,12,7,4,7,12,139,85,54,4,2,5
Nola's Ark,2024-09-01,10,10,10,8,7,5,7,4,7,12,10,5,11,106,57,49,6,5,7
The Flying Rutschmen,2024-09-01,5,4,5,10,4,6,5,6,5,8,12,4,3,77,39,38,9,9,10
Lux Æterna,2024-09-01,8,8,6,6,6,8,9,2,3,1,3,3,5,68,51,17,12,7,12
Ya Gotta Beliebe,2024-09-01,1,1,1,11,1,4,1,8,8,10,9,10,9,74,20,54,10,14,5
Rochelle Rochelle the Musical,2024-09-01,4,5,4,3,5,9,8,7,4,6,4,6,7,72,38,34,11,10,11
